PROGETTI,AUTORI,PARTNER,CATEGORIA,ANNO,DOVE
I LOVE MY LAND,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO, IRA GRÜNBERGER, BACO GIOVANNI CRISTINO",KABK,INSTALLAZIONE,2024,"ITALIA: MAUL! CASTELLO CONTEMPORANEO, SPAZIO ALELAIE - OLANDA: ROYAL ACADEMY OF ART - NEST"
FOR REAL NOT FOR ART,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO",,PERFORMANCE,2024,"ITALIA: MAUL! CASTELLO CONTEMPORANEO, SPAZIO ALELAIE - OLANDA: ROYAL ACADEMY OF ART - NEST"
INCANTO (FULL MOON),"RODOLFO SURICO, ALESSANDRO CACCURI",GOODMESH CONTEST,PERFORMANCE,2023,"OLANDA: HET CONCERTGEBOUW Het Concertgebouw . Goodmesh Contest - Full Moon 2nd Prize: € 3.000,- plus International Press Exposure, professional photo shoot and video recording 
Audience Prize: € 1.000,- plus International Press Exposure, professional photo shoot and video recording. "
BLOOD OF THAT LAND,MARCO DELL'ABATE,,INSTALLAZIONE,2024,ITALIA: MAUL! CATELLO CONTEMPORANEO
INFINITE HOTEL,"MARCO DELL'ABATE, GIOVANNI ABBATEPAOLO, ALESSANDRO MIRACAPILLO",,INSTALLAZIONE,2024,CON.DIVISIONE RESIDENZA
HOTEL,"ALESSANDRO CACCURI, JONNI BONGALLINO",,INSTALLAZIONE,2024,CON.DIVISIONE RESIDENZA
IO ODIO GLI INDIFFERENTI,"ALESSANDRO CACCURI, JONNI BONGALLINO, GIOVANNI ABBATEPAOLO, ALESSANDRO MIRACAPILLO",,"INSTALLAZIONE, PERFORMANCE",2024,CON.DIVISIONE RESIDENZA + SPAZIO ALELAIE
CON.DIVISIONE 9,"ALESSANDRO CACCURI, RODOLFO SURICO, GIOVANNI ABBATEPAOLO",,"GRAPHIC DESIGN, EXHIBIT",2020,ITALIA: MOLA DI BARI
CON.DIVISIONE 8,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, EXHIBIT",2019,ITALIA: MOLA DI BARI
CON.DIVISIONE 10,"ALESSANDRO CACCURI, RODOLFO SURICO, GIOVANNI ABBATEPAOLO",SOS - OFFICINA DELL'ARTE APS,"GRAPHIC DESIGN, EVENT PROD",2021,"ITALIA: MOLA DI BARI / Mad Festival, Berna, Svizzera, 2023
Esibizione del progetto editoriale e di ricerca visiva sul territorio di Mola
di Bari, “XYZ-Mezzogiorno di Fuoco a Con.divisione 10”."
PSICO.PATOS EXHIBITION,"ALESSANDRO CACCURI, RODOLFO SURICO, MARCO DELL'ABATE, JONNI BONGALLINO",,"GRAPHIC DESIGN, EXHIBIT",2022,ITALIA: SANNICANDRO DI BARI
FUOCHI X MCZEE,"ALESSANDRO CACCURI, RODOLFO SURICO, BACO GIOVANNI CRISTINO",,GRAPHIC DESIGN,2022,ITALIA: MONTECASSIANO
SISTEMA NEXUS,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, STRATEGIA, EVENT PROD",2022 - ONGOING,MULTIPLE LOCATION
"MAKING, LAYOUT, RITMI, SEQUENZE","ALESSANDRO CACCURI, RODOLFO SURICO, FABIO CACCURI",OFFICINA DELL'ARTE APS,DIDATTICA,2022,MAUL! CASTELLO CONTEMPORANEO
FOCAREDIO,"ALESSANDRO CACCURI, RODOLFO SURICO, BACO GIOVANNI CRISTINO, FABIO CACCURI",,GRAPHIC DESIGN,2021,VILLA LITTORIO PARCO NAZIONALE DEL CILENTO
CON.DIVISIONE 11,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, EXHIBIT",2022,MOLA DI BARI
IMPIANTECNICA SRL,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, STRATEGIA",2021,
FARMACIA PARTIPILO,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, STRATEGIA",2022,
FRITTO MISTO GENERATIVO,"ALESSANDRO CACCURI, RODOLFO SURICO, GIOVANNI ABBATEPAOLO",UNIVERSITA DESIGN ASCOLI - SAADWORKSHOP,DIDATTICA,2023,UNIVERSITA DESIGN ASCOLI PICENO
TRAGITT,"RODOLFO SURICO, BACO GIOVANNI CRISTINO",SOS,DIDATTICA,,MAUL! SOS
FOCARE 7,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, EVENT PROD",2022,VILLA LITTORIO PARCO NAZIONALE DEL CILENTO
GROUND TRUTHING,"MARCO DELL'ABATE, IRA GRÜNBERGER, LUCA TORNATO",,INSTALLAZIONE,,CON.DIVISIONE
DEMONACO,"ALESSANDRO CACCURI, RODOLFO SURICO",,GRAPHIC DESIGN,2023-24,
CINEMA FLUX,"RODOLFO SURICO, REBECCA BERTERO",,GRAPHIC DESIGN,2022,VENEZIA
TUTTO IN UNA STANZA,"ALESSANDRO CACCURI, RODOLFO SURICO, FABIO CACCURI",OFFICINA DELL'ARTE APS,INSTALLAZIONE,2022,MAUL!
TUFO DEL SUONO,"BACO GIOVANNI CRISTINO, ALESSANDRO CACCURI, RODOLFO SURICO",MAUL! IL CASTELLO CONTEMPORANEO,PERFORMANCE,2022,MAUL!
PIETRE RARE,"BACO GIOVANNI CRISTINO, ALESSANDRO CACCURI",,INSTALLAZIONE,2021,CON.DIVISIONE
CON.DIVISIONE 12,"EMMA BARTOLINI, REBECCA BERTERO, RODOLFO SURICO",,"GRAPHIC DESIGN, EVENT PROD",2023,MOLA DI BARI
CON.DIVISIONE 13,"EMMA BARTOLINI, REBECCA BERTERO, RODOLFO SURICO",,"GRAPHIC DESIGN, EVENT PROD",2024,MOLA DI BARI
SPROLOQUIO CURATORIALE,"EMMA BARTOLINI, REBECCA BERTERO, ALESSANDRO MIRACAPILLO",,"INSTALLAZIONE, PERFORMANCE",2024,CON.DIVISIONE
FROM SHADOW,ALESSANDRO CACCURI,OFF LAB - DUTCH NATION OPERA,PERFORMANCE,2024,DUTCH NATIONAL OPERA AMSTERDAM - SONIC SLEEP DEN HAAG
OFF LAB,ALESSANDRO CACCURI,OFF LAB - VAN EESTEREN MUSEUM,PERFORMANCE,2023,VAN EESTEREN MUSEUM AMSTERDAM
SONIC SLEEP SCENOGRAPHY,"ALESSANDRO CACCURI, IRA GRÜNBERGER, LUCA TORNATO",,EXHIBIT,2023,DEN HAAG
TRADERE,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO",,PERFORMANCE,2023,"ITALIA: IGNOTI ALLA CITTA, SALENTO AREA. OLANDA: QUARTAIR"
SECONDO JOHN CAGE?,ALESSANDRO CACCURI,UNIRSM - USAMRADIO,DIDATTICA,2020,SAN MARINO
IMMANENTS,"RODOLFO SURICO, BACO GIOVANNI CRISTINO",SOS,DIDATTICA,2022,MOLA DI BARI
15SEC RELFECT,"ALESSANDRO CACCURI, RODOLFO SURICO",OFFICINA DELL'ARTE APS,INSTALLAZIONE,2023,MOLA DI BARI
WHAT IF?,"ALESSANDRO CACCURI, RODOLFO SURICO",,INSTALLAZIONE,2023,GREY SPACE IN THE MIDDLE DEN HAAG
TRACCEDERIVE,"ALESSANDRO CACCURI, FABIO CACCURI",FOCARE,DIDATTICA,2020,VILLA LITTORIO PARCO NAZIONALE DEL CILENTO
LA FORZA: MOSTRO,"ALESSANDRO CACCURI, RODOLFO SURICO",,GRAPHIC DESIGN,2020,LAB.FORMENTINI MILANO
HELLO WORLD?,"ALESSANDRO CACCURI, RODOLFO SURICO, BACO GIOVANNI CRISTINO",,PERFORMANCE,2022,GREY SPACE IN THE MIDDLE DEN HAAG
OSPITI A MOLA,"REBECCA BERTERO, EMMA BARTOLINI, ALESSANDRO CACCURI, RODOLFO SURICO",,GRAPHIC DESIGN,2020,
FOCARE MMXXII,"ALESSANDRO CACCURI, RODOLFO SURICO",,GRAPHIC DESIGN,2022,
SPAZIO ALELAIE,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO, JONNI BONGALLINO",,EVENT PROD,2024-25,
SUD è MAGIA,"FABIO CACCURI, ALESSANDRO CACCURI, RODOLFO SURICO, MARCO DELL'ABATE, JONNI BONGALLINO",,EVENT PROD,2024,MAUL! IL CASTELLO CONTEMPORANEO
MUTAZIONI,"ALESSANDRO CACCURI, FABIO CACCURI",,"GRAPHIC DESIGN, EXHIBIT",2024,MOLA DI BARI
CON.DIVISIONE RESIDENZA,"MARCO DELL'ABATE, RODOLFO SURICO, ALESSANDRO CACCURI, IRA GRÜNBERGER, BACO GIOVANNI CRISTINO, JONNI BONGALLINO, GIOVANNI ABBATEPAOLO, ALESSANDRO MIRACAPILLO, FABIO CACCURI, ELISA DE LA SERNA GALLEGO, LARA SILVA SANTOS, EMMA BARTOLINI, REBECCA BERTERO, LUCA TORNATO, ANTONIO PIPOLO",OFFICINA DELL'ARTE APS,EVENT PROD,,
CASE ABBANDONATE,"LUCA TORNATO, LARA SILVA SANTOS, ELISA DE LA SERNA GALLEGO, IRA GRÜNBERGER",,INSTALLAZIONE,2024,CON.DIVISIONE
ENCONTROS PERIGOSOS,"BACO GIOVANNI CRISTINO, LARA SILVA SANTOS",,PERFORMANCE,2024,CON.DIVISIONE
BEBER DEL MEDITERRANEO,"LARA SILVA SANTOS, ELISA DE LA SERNA GALLEGO",,PERFORMANCE,2024,CON.DIVISIONE
ECATE ASS.CULTURALE,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, DIDATTICA",2020,
MOLA DI BARI PAESIO MIO,"ALESSANDRO CACCURI, RODOLFO SURICO, FABIO CACCURI",,"GRAPHIC DESIGN, STRATEGIA",2021,
IL GIOCO DELLE CONSOCIAZIONI,"ALESSANDRO CACCURI, RODOLFO SURICO",,"GRAPHIC DESIGN, DIDATTICA",2022,